Rk,ID,Player,Age,Pos,Date,Tm,Home/Away,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,9772,Ryan Anderson,29-164,F,10/17/2017,HOU,@,GSW,W,1,33,5,12,0.417,2,4,0.5,3,8,0.375,0,0,,3,5,8,1,1,1,0,3,13,11.4
2,9538,Trevor Ariza,32-109,F,10/17/2017,HOU,@,GSW,W,1,38,3,9,0.333,1,4,0.25,2,5,0.4,0,0,,1,5,6,5,2,0,1,2,8,8.8
3,37931,Aron Baynes,30-312,C,10/17/2017,BOS,@,CLE,L,0,19,2,2,1,2,2,1,0,0,,2,4,0.5,2,3,5,1,0,1,2,5,6,4.3
4,40769,Jordan Bell,22-283,F,10/17/2017,GSW,,HOU,L,0,12,4,5,0.8,4,5,0.8,0,0,,0,0,,0,1,1,1,0,0,1,4,8,4.5
5,67026,Jaylen Brown,20-358,F-G,10/17/2017,BOS,@,CLE,L,1,40,11,23,0.478,9,14,0.643,2,9,0.222,1,2,0.5,1,5,6,0,2,0,3,5,25,12.1
6,55059,Clint Capela,23-152,F-C,10/17/2017,HOU,@,GSW,W,1,18,6,10,0.6,6,10,0.6,0,0,,0,1,0,1,3,4,0,1,1,2,0,12,8.3
7,9960,Omri Casspi,29-117,F,10/17/2017,GSW,,HOU,L,0,4,0,0,,0,0,,0,0,,2,2,1,0,1,1,0,0,0,0,0,2,2.3
8,15800,Jae Crowder,27-103,F,10/17/2017,CLE,,BOS,W,1,35,3,10,0.3,2,5,0.4,1,5,0.2,4,4,1,1,4,5,2,2,0,1,2,11,8.7
9,9524,Stephen Curry,29-217,G,10/17/2017,GSW,,HOU,L,1,30,8,18,0.444,5,9,0.556,3,9,0.333,3,3,1,0,5,5,4,1,0,2,4,22,14.3
10,9646,Kevin Durant,29-018,F-G,10/17/2017,GSW,,HOU,L,1,38,7,15,0.467,5,10,0.5,2,5,0.4,4,5,0.8,1,4,5,7,0,4,8,4,20,11.9
11,9556,Eric Gordon,28-296,G,10/17/2017,HOU,@,GSW,W,0,29,9,16,0.563,9,10,0.9,0,6,0,6,8,0.75,0,1,1,1,1,2,2,1,24,16.6
12,15860,Draymond Green,27-227,F,10/17/2017,GSW,,HOU,L,1,28,2,6,0.333,1,4,0.25,1,2,0.5,4,4,1,1,10,11,13,0,0,2,3,9,15.2
13,9648,Jeff Green,31-050,F,10/17/2017,CLE,,BOS,W,0,14,3,8,0.375,3,7,0.429,0,1,0,0,0,,0,0,0,0,0,0,1,3,6,-0.6
14,9644,James Harden,28-052,G,10/17/2017,HOU,@,GSW,W,1,36,10,23,0.435,6,14,0.429,4,9,0.444,3,4,0.75,1,5,6,11,1,0,3,2,27,21.6
15,12366,Gordon Hayward,27-208,F-G,10/17/2017,BOS,@,CLE,L,1,5,1,2,0.5,1,1,1,0,1,0,0,0,,0,1,1,0,0,0,0,1,2,0.9
16,9453,Al Horford,31-136,C-F,10/17/2017,BOS,@,CLE,L,1,32,2,7,0.286,2,5,0.4,0,2,0,5,7,0.714,0,7,7,5,0,1,0,2,9,9.6
17,14498,Kyrie Irving,25-208,G,10/17/2017,BOS,@,CLE,L,1,39,8,17,0.471,4,8,0.5,4,9,0.444,2,2,1,2,2,4,10,3,0,2,4,22,21.7
18,9488,LeBron James,32-291,F-G,10/17/2017,CLE,,BOS,W,1,41,12,19,0.632,11,14,0.786,1,5,0.2,4,4,1,1,15,16,9,0,2,4,3,29,28.2
19,9870,Kyle Korver,36-214,G-F,10/17/2017,CLE,,BOS,W,0,7,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8
20,15834,Shane Larkin,25-015,G,10/17/2017,BOS,@,CLE,L,0,5,0,1,0,0,0,,0,1,0,0,0,,0,1,1,0,0,0,0,0,0,-0.4
21,9643,Shaun Livingston,32-036,G,10/17/2017,GSW,,HOU,L,0,19,2,5,0.4,2,5,0.4,0,0,,2,2,1,1,0,1,5,0,0,1,2,6,5.7
22,58576,Kevon Looney,21-253,F-C,10/17/2017,GSW,,HOU,L,0,8,0,0,,0,0,,0,0,,1,2,0.5,0,2,2,0,1,0,0,2,1,1.4
23,9874,Kevin Love,29-040,F,10/17/2017,CLE,,BOS,W,1,28,4,9,0.444,3,5,0.6,1,4,0.25,6,7,0.857,3,8,11,0,0,0,2,2,15,11.6
24,9796,Luc Mbah a Moute,31-038,F,10/17/2017,HOU,@,GSW,W,0,23,6,9,0.667,4,6,0.667,2,3,0.667,0,0,,2,2,4,0,0,0,2,1,14,9.7
25,58658,Patrick McCaw,21-357,G,10/17/2017,GSW,,HOU,L,0,19,2,3,0.667,2,3,0.667,0,0,,0,0,,1,2,3,1,1,1,0,1,4,6
