Rk,Player ▲,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,Alex Abrines,25-076,G-F,10/16/2018,OKC,@,GSW,L,0,23,3,8,0.375,1,2,0.5,2,6,0.333,0,0,,0,2,2,0,0,0,0,2,8,3.4
2,Steven Adams,25-088,C,10/16/2018,OKC,@,GSW,L,1,36,6,12,0.5,6,12,0.5,0,0,,5,8,0.625,4,7,11,4,2,0,2,3,17,16.3
3,Aron Baynes,31-311,C,10/16/2018,BOS,,PHI,W,0,19,3,7,0.429,1,3,0.333,2,4,0.5,0,0,,3,1,4,3,0,0,1,3,8,6.6
4,Jordan Bell,23-282,F,10/16/2018,GSW,,OKC,W,0,7,0,0,,0,0,,0,0,,0,0,,1,1,2,0,0,1,0,1,0,1.3
5,Jonah Bolden,22-287,F,10/16/2018,PHI,@,BOS,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
6,Jaylen Brown,21-357,F-G,10/16/2018,BOS,,PHI,W,1,28,5,13,0.385,4,10,0.4,1,3,0.333,1,2,0.5,3,2,5,2,0,0,2,4,12,5
7,Quinn Cook,25-207,G,10/16/2018,GSW,,OKC,W,0,13,1,2,0.5,0,1,0,1,1,1,0,0,,0,1,1,1,0,0,1,2,3,1.2
8,Robert Covington,27-306,F,10/16/2018,PHI,@,BOS,L,1,34,3,10,0.3,1,3,0.333,2,7,0.286,0,0,,1,5,6,0,2,1,2,1,8,4.7
9,Stephen Curry,30-216,G,10/16/2018,GSW,,OKC,W,1,37,11,20,0.55,6,11,0.545,5,9,0.556,5,5,1,0,8,8,9,1,0,3,4,32,27.5
10,Hamidou Diallo,20-077,G,10/16/2018,OKC,@,GSW,L,0,9,2,4,0.5,2,4,0.5,0,0,,0,1,0,0,1,1,1,1,0,0,2,4,2.8
11,Kevin Durant,30-017,F-G,10/16/2018,GSW,,OKC,W,1,38,9,21,0.429,9,16,0.563,0,5,0,9,10,0.9,1,7,8,6,1,1,3,4,27,19.6
