"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28835-9642","PG","Russell","Russell Westbrook","Westbrook","53.96543451003087","81","12400","OKC@MIN","OKC","MIN","O","Knee","","",""
"28835-15755","PF","Anthony","Anthony Davis","Davis","54.59605006167763","76","12000","NO@NY","NO","NY","","","","",""
"28835-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","44.107227739081324","83","11200","OKC@MIN","MIN","OKC","","","","",""
"28835-9646","SF","Kevin","Kevin Durant","Durant","46.97826086956522","69","10600","SAC@GS","GS","SAC","","","","",""
"28835-12332","PG","John","John Wall","Wall","41.81707317073171","41","10000","MIA@WAS","WAS","MIA","","","","",""
"28835-15557","C","Andre","Andre Drummond","Drummond","45.14556962025316","79","9900","DET@SA","DET","SA","","","","",""
"28835-9524","PG","Stephen","Stephen Curry","Curry","43.42115196814904","52","9800","SAC@GS","GS","SAC","O","Personal","","",""
"28835-14528","SG","Jimmy","Jimmy Butler","Butler","41.14915336996822","59","9400","OKC@MIN","MIN","OKC","O","Not injury related","","",""
"28835-20848","PG","Damian","Damian Lillard","Lillard","43.37973104940878","74","9400","POR@PHO","POR","PHO","","","","",""
"28835-12362","C","DeMarcus","DeMarcus Cousins","Cousins","53.335418701171875","48","9100","SAC@GS","GS","SAC","O","Achilles","","",""
"28835-12341","SF","Paul","Paul George","George","38.54874877929687","80","8800","OKC@MIN","OKC","MIN","","","","",""
"28835-63122","PF","Kristaps","Kristaps Porzingis","Porzingis","39.84791564941406","48","8400","NO@NY","NY","NO","O","Knee","","",""
"28835-9663","SG","Jrue","Jrue Holiday","Holiday","37.666666666666664","81","8300","NO@NY","NO","NY","","","","",""
"28835-9714","SG","DeMar","DeMar DeRozan","DeRozan","37.34197470582562","81","8300","DET@SA","SA","DET","","","","",""
"28835-58460","SG","Devin","Devin Booker","Booker","37.17222312644676","54","8200","POR@PHO","PHO","POR","O","Hand","","",""
"28835-9560","PF","Blake","Blake Griffin","Griffin","39.09655340786638","58","8200","DET@SA","DET","SA","O","Coach's decision","","",""
"28835-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","39.655263800370065","76","8200","DET@SA","SA","DET","","","","",""
"28835-9581","C","Marc","Marc Gasol","Gasol","36.94383427868151","73","8100","ATL@MEM","MEM","ATL","","","","",""
"28835-15860","PF","Draymond","Draymond Green","Green","35.971830985915496","71","8100","SAC@GS","GS","SAC","O","Knee","","",""
"28835-15595","PG","Bradley","Bradley Beal","Beal","36.74819394766566","83","8000","MIA@WAS","WAS","MIA","","","","",""
"28835-9575","PG","Mike","Mike Conley","Conley","28.15833282470703","12","8000","ATL@MEM","MEM","ATL","","","","",""
"28835-55057","C","Jusuf","Jusuf Nurkic","Nurkic","32.127849337420884","79","7600","POR@PHO","POR","PHO","","","","",""
"28835-42669","PF","Julius","Julius Randle","Randle","30.16829327839177","82","7300","NO@NY","NO","NY","GTD","Back","","",""
"28835-23716","SF","Kyle","Kyle Anderson","Anderson","24.24594528610642","74","7200","ATL@MEM","MEM","ATL","O","Heel","","",""
"28835-84673","PF","Deandre","Deandre Ayton","Ayton","0","0","7200","POR@PHO","PHO","POR","","","","",""
"28835-23120","SF","TJ","TJ Warren","Warren","31.26307654747596","65","7100","POR@PHO","PHO","POR","","","","",""
"28835-66236","PF","John","John Collins","Collins","24.930667317708334","75","7100","ATL@MEM","ATL","MEM","","","","",""
"28835-14516","C","Enes","Enes Kanter","Kanter","30.85211267605634","71","7000","NO@NY","NY","NO","","","","",""
"28835-12363","C","Hassan","Hassan Whiteside","Whiteside","34.807406955295136","54","6900","MIA@WAS","MIA","WAS","","","","",""
"28835-19067","SG","CJ","CJ McCollum","McCollum","33.44691297743056","81","6900","POR@PHO","POR","PHO","","","","",""
"28835-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","29.10958904109589","73","6900","SAC@GS","SAC","GS","","","","",""
"28835-9446","PG","Jeff","Jeff Teague","Teague","31.111429268973215","70","6800","OKC@MIN","MIN","OKC","","","","",""
"28835-23169","C","Steven","Steven Adams","Adams","31.473684210526315","76","6700","OKC@MIN","OKC","MIN","","","","",""
"28835-14509","SG","Klay","Klay Thompson","Thompson","30.11756690772804","74","6700","SAC@GS","GS","SAC","","","","",""
