Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
29206-9488,SF,LeBron,LeBron James,James,54.05180488,83,11700,LAL@POR,LAL,POR,,,
29206-66115,PG,Ben,Ben Simmons,Simmons,64,1,11000,CHI@PHI,PHI,CHI,,,
29206-49111,C,Joel,Joel Embiid,Embiid,42,1,10800,CHI@PHI,PHI,CHI,,,
29206-20848,PG,Damian,Damian Lillard,Lillard,43.37973105,74,9900,LAL@POR,POR,LAL,,,
29206-12332,PG,John,John Wall,Wall,41.81707317,41,9600,MIA@WAS,WAS,MIA,,,
29206-15595,SG,Bradley,Bradley Beal,Beal,36.74819395,83,8200,MIA@WAS,WAS,MIA,,,
29206-55057,C,Jusuf,Jusuf Nurkic,Nurkic,32.12784934,79,7800,LAL@POR,POR,LAL,,,
29206-12363,C,Hassan,Hassan Whiteside,Whiteside,41.59999847,1,7500,MIA@WAS,MIA,WAS,,,
29206-19067,SG,CJ,CJ McCollum,McCollum,33.44691298,81,7200,LAL@POR,POR,LAL,,,
29206-9660,C,Dwight,Dwight Howard,Howard,37.62839386,81,7100,MIA@WAS,WAS,MIA,GTD,Back,
29206-23802,PG,Kris,Kris Dunn,Dunn,32.05471744,53,7000,CHI@PHI,CHI,PHI,,,
29206-16233,SF,Josh,Josh Richardson,Richardson,34.5,1,6900,MIA@WAS,MIA,WAS,,,
29206-66048,PF,Brandon,Brandon Ingram,Ingram,29.98166707,60,6800,LAL@POR,LAL,POR,,,
29206-40783,SG,Zach,Zach LaVine,LaVine,27.61666616,24,6800,CHI@PHI,CHI,PHI,,,
29206-20491,SF,Robert,Robert Covington,Covington,22.20000076,1,6700,CHI@PHI,PHI,CHI,,,
29206-80806,PG,Lonzo,Lonzo Ball,Ball,34.25,52,6600,LAL@POR,LAL,POR,,,
29206-15628,SF,Otto,Otto Porter Jr.,Porter Jr.,30.59610263,77,6400,MIA@WAS,WAS,MIA,,,
29206-42550,SF,Jabari,Jabari Parker,Parker,23.24838749,31,6200,CHI@PHI,CHI,PHI,,,
29206-9673,PG,Goran,Goran Dragic,Dragic,36.79999924,1,6200,MIA@WAS,MIA,WAS,,,
29206-22541,PF,Kelly,Kelly Olynyk,Olynyk,4.199999809,1,6100,MIA@WAS,MIA,WAS,,,
29206-58377,PF,Kyle,Kyle Kuzma,Kuzma,27.83974359,78,6000,LAL@POR,LAL,POR,,,
29206-55056,PF,Dario,Dario Saric,Saric,11.69999981,1,5900,CHI@PHI,PHI,CHI,,,
29206-9966,PF,James,James Johnson,Johnson,25.44657501,73,5800,MIA@WAS,MIA,WAS,O,Abdomen,
