,ID,Pos2,Pos3,Position
0,9534,PG,SG,PG
1,41594,C,SF,PF
2,42664,PG,SG,PG
3,87632436,PG,SF,SG
4,19726,PG,SF,SG
5,15864,C,SF,PF
6,23273,PF,C,C
7,9453,PF,C,C
8,9609,PF,C,C
9,17542,PF,C,C
10,14510,PG,SF,SG
11,43109,C,SF,PF
12,40206,PG,SF,SG
13,23981,PG,SF,SG
14,15814,PF,C,C
15,23826,C,SF,PF
16,9804,PF,C,C
17,12342,C,SF,PF
18,18435,C,SF,PF
19,15501,SG,PF,SF
20,23581,C,SF,PF
21,9862,C,SF,PF
22,15557,PF,C,C
23,9664,SG,PF,SF
24,82971,PG,SF,SG
25,15548,PG,SF,SG
26,9601,PF,C,C
27,42665,PG,SG,PG
28,23624,SG,PF,SF
29,49116,PG,SF,SG
30,70824,PF,C,C
31,16188,SG,PF,SF
32,15755,C,SF,PF
33,9920,C,SF,PF
34,66114,PG,SG,PG
35,48583,PG,SF,SG
36,37931,PF,C,C
37,9507,PG,SF,SG
38,15592,PG,SF,SG
39,12334,PG,SF,SG
40,80817,C,SF,PF
41,15727,PG,SF,SG
42,40264,SG,PF,SF
43,66115,C,SF,PF
44,14505,PF,C,C
45,9560,C,SF,PF
46,63826,PF,C,C
47,74101,PG,SG,PG
48,42156,C,SF,PF
49,55060,PG,SF,SG
50,14530,SG,PF,SF
51,15595,PG,SF,SG
52,9935,PF,C,C
53,66048,SG,PF,SF
54,9593,PG,SG,PG
55,15671,PG,SF,SG
56,20815,PG,SG,PG
57,23654,C,SF,PF
58,9621,PF,C,C
59,55058,SG,PF,SF
60,23788,PG,SF,SG
61,23665,PG,SF,SG
62,15975,PG,SF,SG
63,66185,C,SF,PF
64,48567,PG,SG,PG
65,23798,PG,SF,SG
66,9508,C,SF,PF
67,63126,SG,PF,SF
68,14537,SG,PF,SF
69,9678,PF,C,C
70,23300,PG,SF,SG
71,66091,C,SF,PF
72,58505,PF,C,C
73,68203,C,SF,PF
74,59483,C,SF,PF
75,9623,PG,SG,PG
76,19067,PG,SF,SG
77,9725,SG,PF,SF
78,16411,PG,SF,SG
79,55059,PF,C,C
80,15691,PF,C,C
81,12354,PF,C,C
82,9606,SG,PF,SF
83,14529,PG,SG,PG
84,9615,PG,SF,SG
85,63478,PF,C,C
86,9466,PG,SG,PG
87,58295,C,SF,PF
88,42667,PF,C,C
89,41082,PF,C,C
90,20848,PG,SG,PG
91,9932,PG,SF,SG
92,18376,PG,SF,SG
93,23676,PG,SF,SG
94,58312,PG,SF,SG
95,58800,SG,PF,SF
96,81529,C,SF,PF
97,9637,SG,PF,SF
98,9758,PG,SF,SG
99,9940,SG,PF,SF
100,55055,PG,SG,PG
101,23294,PG,SF,SG
102,55056,C,SF,PF
103,15762,SG,PF,SF
104,9580,C,SF,PF
105,9624,PG,SG,PG
106,16348,PG,SF,SG
107,42733,SG,PF,SF
108,18704,PG,SG,PG
109,9629,C,SF,PF
110,14543,C,SF,PF
111,40255,PG,SF,SG
112,80810,PG,SG,PG
113,49336,SG,PF,SF
114,9561,PF,C,C
115,14552,PG,SF,SG
116,67708,PG,SG,PG
117,40830,PG,SG,PG
118,9714,PG,SF,SG
119,12362,PF,C,C
120,9787,SG,PF,SF
121,41269,PG,SG,PG
122,40201,PG,SG,PG
123,80814,PG,SG,PG
124,24546,SG,PF,SF
125,12351,C,SF,PF
126,66968,SG,PF,SF
127,9475,PG,SG,PG
128,40561,PG,SG,PG
129,49675,PG,SG,PG
130,14500,C,SF,PF
131,58460,PG,SF,SG
132,9613,PG,SF,SG
133,58457,SG,PF,SF
134,16301,PF,C,C
135,66129,PF,C,C
136,60233,SG,PF,SF
137,16220,PG,SF,SG
138,9500,C,SF,PF
139,59358,C,SF,PF
140,66113,PG,SF,SG
141,16376,SG,PF,SF
142,18256,SG,PF,SF
143,70819,C,SF,PF
144,15860,C,SF,PF
145,66061,PG,SF,SG
146,16506,PG,SG,PG
147,9660,PF,C,C
148,16196,C,SF,PF
149,9585,PG,SF,SG
150,12365,C,SF,PF
151,58270,PG,SG,PG
152,12339,PF,C,C
153,19138,PG,SG,PG
154,9631,PF,C,C
155,63124,PG,SG,PG
156,14516,PF,C,C
157,12355,PG,SG,PG
158,9556,PG,SF,SG
159,17989,SG,PF,SF
160,16063,C,SF,PF
161,23648,SG,PF,SF
162,9598,C,SF,PF
163,14554,PG,SF,SG
164,23096,SG,PF,SF
165,12359,SG,PF,SF
166,80824,PG,SG,PG
167,16448,C,SF,PF
168,49114,PG,SG,PG
169,80813,PG,SG,PG
170,24247,PG,SG,PG
171,70826,PG,SF,SG
172,11074,PG,SF,SG
173,24544,PG,SF,SG
174,58519,PG,SG,PG
175,9703,PG,SG,PG
176,23317,C,SF,PF
177,70821,PF,C,C
178,9849,PG,SF,SG
179,58584,PG,SG,PG
180,40199,SG,PF,SF
181,23800,SG,PF,SF
182,9673,PG,SG,PG
183,12366,SG,PF,SF
184,15771,C,SF,PF
185,12337,PF,C,C
186,70823,C,SF,PF
187,15946,SG,PF,SF
188,80819,C,SF,PF
189,12363,PF,C,C
190,66455,C,SF,PF
191,17747,PG,SG,PG
192,9953,PF,C,C
193,80826,PF,C,C
194,14515,PG,SF,SG
195,19456,PG,SG,PG
196,48570,C,SF,PF
197,49349,PG,SG,PG
198,14559,PG,SG,PG
199,58247,PG,SG,PG
200,12511,PG,SG,PG
201,67025,C,SF,PF
202,70827,PF,C,C
203,9495,PG,SG,PG
204,42158,PG,SF,SG
205,42550,C,SF,PF
206,15994,PF,C,C
207,82237,PG,SG,PG
208,81606,PG,SG,PG
209,15800,C,SF,PF
210,58083,PF,C,C
211,16183,SG,PF,SF
212,23780,SG,PF,SF
213,58378,PF,C,C
214,20357,SG,PF,SF
215,9448,PG,SF,SG
216,66108,PG,SG,PG
217,24150,SG,PF,SF
218,9652,PG,SG,PG
219,41272,SG,PF,SF
220,17491,SG,PF,SF
221,9644,PG,SF,SG
222,9966,C,SF,PF
223,15955,C,SF,PF
224,82491,SG,PF,SF
225,42671,PG,SF,SG
226,15808,C,SF,PF
227,15405,C,SF,PF
228,9677,C,SF,PF
229,16375,PG,SF,SG
230,40819,C,SF,PF
231,80821,PF,C,C
232,9713,PG,SG,PG
233,9669,C,SF,PF
234,9496,PG,SF,SG
235,9739,PF,C,C
236,66174,PG,SG,PG
237,67026,SG,PF,SF
238,82761,PG,SF,SG
239,80808,SG,PF,SF
240,9648,SG,PF,SF
241,9446,PG,SG,PG
242,15736,PF,C,C
243,23831,C,SF,PF
244,12391,C,SF,PF
245,15559,SG,PF,SF
246,99999998,PG,SG,PG
247,15996,PG,SG,PG
248,9810,PG,SG,PG
