,GmSc,PTS,TRB,BLK,STL,AST,3P,FG,FGA,FT,FTA,TOV,PTS_G,TRB_G,BLK_G,STL_G,AST_G,3P_G,FG%,FT%,TOV_G,sum
,size,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,,,,,,,,,,
Player,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,75,2110,832,192.0,115,174,55,780,1462,495,598,162,0.9233467612562831,0.6897978981406627,1.0,0.6571428571428571,0.22655129789864029,0.1764150943396226,0.6892106814364997,0.8277591973244147,0.42842975206611567,4.761794035472865
James Harden,72,2191,387,50.0,126,630,265,651,1448,624,727,315,0.9999999999999999,0.32922392886014545,0.2712673611111111,0.75,0.8544499381953029,0.8854166666666665,0.5411388851457575,0.8583218707015131,0.8677685950413222,4.622050055639175
Stephen Curry,51,1346,261,8.0,80,310,212,428,864,278,302,153,0.8652475428159213,0.31299633838984253,0.061274509803921566,0.6722689075630252,0.5935674640684456,1.0,0.6219135802469135,0.9205298013245033,0.5950413223140495,4.452756821898523
Kevin Durant,68,1792,465,119.0,50,366,173,630,1221,359,404,208,0.8639390018600572,0.42148937181986773,0.68359375,0.31512605042016806,0.5255944157638334,0.6120283018867924,0.6582569265496094,0.8886138613861386,0.6067087992221681,4.361932880464299
DeMarcus Cousins,48,1210,619,76.0,79,257,104,406,864,294,394,242,0.8257459627107767,0.8034559417946644,0.6184895833333333,0.7053571428571428,0.5228419859909353,0.5212264150943395,0.5769911171333935,0.7461928934010152,1.0,4.3203010423156005
LeBron James,82,2251,712,71.0,117,746,149,857,1580,388,531,348,0.900586127532517,0.5378078356369658,0.33822408536585363,0.6114982578397212,0.8883897615243149,0.43712609295904276,0.7048934856437171,0.7306967984934086,0.8417657730296311,4.30745667196591
Chris Paul,58,1081,313,13.0,97,457,144,367,798,203,221,128,0.6065061298447777,0.3305828896384467,0.08755387931034483,0.7167487684729064,0.7694258556753762,0.597267404033832,0.5593353301954072,0.918552036199095,0.4377315474494157,4.148240745920771
Giannis Antetokounmpo,75,2014,755,107.0,108,361,43,742,1402,487,641,221,0.880635984456882,0.6250606305578009,0.5572916666666667,0.6171428571428571,0.47002884219200664,0.13792452830188678,0.6816742632476253,0.7597503900156006,0.5844628099173553,4.14504635266397
Karl-Anthony Towns,82,1743,1015,116.0,64,199,120,639,1171,345,402,160,0.6938685721390742,0.7708066328844371,0.5525914634146342,0.33449477351916374,0.236983327806084,0.35204786010124245,0.7106843570570632,0.8582089552238806,0.38701874622052,4.122667195925059
Victor Oladipo,75,1735,391,57.0,175,323,161,640,1340,294,368,222,0.7565077893836226,0.3190299110751818,0.296875,1.0,0.42055212196126907,0.5164150943396225,0.5905836670307001,0.7989130434782609,0.5871074380165289,4.1117691892521275
Damian Lillard,73,1962,325,27.0,77,481,227,621,1416,493,538,205,0.8814160899691998,0.2710268989269221,0.1444777397260274,0.4520547945205479,0.6434292293885568,0.7480615146032565,0.5216859583850075,0.9163568773234201,0.557002151024567,4.021506951818371
Paul George,79,1734,449,39.0,161,263,244,576,1340,338,411,212,0.7170014471832272,0.34867943063557194,0.19284018987341772,0.8734177215189873,0.3250927070457355,0.7430140912347742,0.5063220482951097,0.8223844282238443,0.5322732503399937,3.996478813670674
Nikola Jokic,75,1385,800,61.0,89,458,111,504,1008,266,313,210,0.6007914156358061,0.6628940986257071,0.3177083333333333,0.5085714285714286,0.5963246806757314,0.35603773584905657,0.6300813008130081,0.8498402555910544,0.5553719008264462,3.966877348268679
Russell Westbrook,79,1996,794,19.0,147,809,97,745,1667,409,556,376,0.827664258906359,0.6240496096108387,0.09394778481012658,0.7974683544303797,1.0,0.29537855266300456,0.5364195453592208,0.7356115107913669,0.9440318024898,3.9665078140814964
Kristaps Porzingis,48,1088,316,115.0,36,57,90,390,889,218,275,93,0.740936152008841,0.40541632983023435,0.9358723958333334,0.3214285714285714,0.11596106304079111,0.45106132075471694,0.521925612956917,0.7927272727272727,0.38429752066115697,3.9010311979195205
Jimmy Butler,59,1307,315,24.0,117,288,70,437,921,363,425,108,0.7237809582908612,0.3269528520340353,0.15889830508474578,0.8498789346246973,0.4766713456663385,0.2854173329069395,0.5850657203640439,0.8541176470588235,0.36307606107297935,3.8977070349575063
Andre Drummond,78,1171,1249,129.0,115,237,0,466,881,239,395,203,0.4855441873729991,0.9999999999999998,0.6460336538461539,0.6318681318681318,0.296710088428259,0.0,0.6811457785406458,0.6050632911392405,0.516211061665607,3.830154069529822
Kyrie Irving,60,1466,227,17.0,65,306,166,534,1087,232,261,140,0.7998859220705143,0.22886014551333866,0.11067708333333333,0.46428571428571425,0.4980222496909765,0.665566037735849,0.6146625679688259,0.8888888888888888,0.46280991735537186,3.8080386921320692
Kyle Lowry,78,1267,435,19.0,85,537,238,403,943,223,261,183,0.5266122419878079,0.3419563459983831,0.09515224358974358,0.467032967032967,0.6722924788437769,0.7340348330914367,0.5019269068618576,0.8544061302681992,0.4653528289891926,3.7280613186849796
Kemba Walker,80,1770,247,24.0,92,444,231,588,1363,363,420,179,0.7228619300559694,0.184983831851253,0.1171875,0.49285714285714277,0.5419653893695922,0.6946344339622641,0.5090576144206049,0.8642857142857143,0.4438016528925619,3.684031903909979
Jrue Holiday,81,1537,366,64.0,122,486,120,615,1243,187,238,215,0.6177636764781608,0.275217820892841,0.30864197530864196,0.6455026455026455,0.5859085290482077,0.3563941299790356,0.6208556534479261,0.7857142857142857,0.5264768901132536,3.669521826258491
Draymond Green,70,773,535,91.0,95,508,77,281,619,134,173,202,0.3530752659696369,0.47222543018824337,0.5078125,0.5816326530612245,0.7086703160868798,0.26462264150943393,0.5488527260070661,0.7745664739884393,0.5723730814639905,3.6390849253469333
Robert Covington,80,1009,432,72.0,137,156,203,345,835,116,136,129,0.4054507860682328,0.3308003233629749,0.3515625,0.7339285714285714,0.1904202719406675,0.610436320754717,0.47689985881894736,0.8529411764705882,0.31983471074380165,3.6326050981008975
Otto Porter,77,1134,492,40.0,117,157,138,445,885,106,128,75,0.4760160875807376,0.39320097848796304,0.2029220779220779,0.6512059369202226,0.1991074438540446,0.4311443273707424,0.6350649947177438,0.828125,0.19319523451754855,3.623591612335983
John Wall,41,797,148,45.0,57,393,62,280,665,175,241,159,0.6332368482146195,0.2179150975018238,0.428734756097561,0.5958188153310103,0.9360246012843318,0.3637827887712839,0.4908001711596063,0.7261410788381742,0.7691997581132834,3.623254399085127
Rudy Gobert,56,756,601,129.0,44,80,0,276,444,204,299,108,0.43506470357563004,0.6670227508950224,0.8998325892857142,0.336734693877551,0.13950203072576375,0.0,0.8446495275763568,0.6822742474916388,0.38252656434474613,3.6225539790829315
Kawhi Leonard,9,146,42,9.0,18,21,11,52,111,31,38,16,0.525899254928523,0.2845594179466451,0.390625,0.8571428571428571,0.2278533168520808,0.2940251572327044,0.5744525012817695,0.8157894736842105,0.3526170798898071,3.617729899178983
Joel Embiid,63,1445,689,112.0,40,199,66,510,1054,359,467,233,0.7499401600146671,0.6799091504022787,0.6944444444444444,0.27210884353741494,0.3084544901602998,0.25202156334231807,0.6016260162601625,0.7687366167023555,0.7335694608421881,3.593671824021753
Eric Bledsoe,74,1313,285,42.0,148,370,125,468,990,252,318,215,0.5766523715972932,0.23314907470121693,0.22170608108108109,0.8571428571428571,0.4882571075401731,0.40636155022947473,0.5819660014781965,0.7924528301886793,0.5762787580969398,3.5814091158620323
Nikola Vucevic,57,939,524,63.0,56,191,64,399,840,77,94,110,0.5342899868472649,0.569969791090499,0.43174342105263164,0.42105263157894735,0.3272179211935897,0.27010923535253223,0.5859756097560974,0.8191489361702128,0.3827751196172248,3.5767324134245504
Bradley Beal,82,1857,362,35.0,98,373,199,683,1484,292,368,214,0.7402579448061065,0.26866731076364925,0.16673018292682926,0.5121951219512194,0.44419488076215746,0.5838127013345604,0.5599401748734468,0.7934782608695652,0.5176375730699455,3.5516390052175884
Gary Harris,67,1170,176,15.0,123,194,156,440,908,134,162,118,0.5672908141194849,0.1559381749297168,0.08745335820895522,0.7867803837953091,0.2827518772023689,0.5601239087580963,0.602879553024605,0.8271604938271605,0.3493277414579992,3.5210508224076973
Khris Middleton,82,1652,428,21.0,116,328,146,593,1272,320,362,191,0.6568384588697762,0.31941952402547463,0.10003810975609756,0.6062717770034842,0.39060568603213847,0.4283248964565117,0.5704415298869969,0.8839779005524862,0.46200362830074576,3.49391425428222
