,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,ID,Player,sum
0,9488,SF,LeBron,LeBron James,James,52.477849984760375,83,11700,LAL@POR,LAL,POR,,,,9488.0,LeBron James,52.477849984760375
1,66115,PG,Ben,Ben Simmons,Simmons,42.30691736312687,1,11000,CHI@PHI,PHI,CHI,,,,66115.0,Ben Simmons,42.30691736312687
2,49111,C,Joel,Joel Embiid,Embiid,44.93991343814354,1,10800,CHI@PHI,PHI,CHI,,,,49111.0,Joel Embiid,44.93991343814354
3,20848,PG,Damian,Damian Lillard,Lillard,46.88899237428979,74,9900,LAL@POR,POR,LAL,,,,20848.0,Damian Lillard,46.88899237428979
4,12332,PG,John,John Wall,Wall,34.88766793485948,41,9600,MIA@WAS,WAS,MIA,,,,12332.0,John Wall,34.88766793485948
5,15595,SG,Bradley,Bradley Beal,Beal,34.08393454147331,83,8200,MIA@WAS,WAS,MIA,,,,15595.0,Bradley Beal,34.08393454147331
6,55057,C,Jusuf,Jusuf Nurkic,Nurkic,37.21647217703331,79,7800,LAL@POR,POR,LAL,,,,55057.0,Jusuf Nurkic,37.21647217703331
7,12363,C,Hassan,Hassan Whiteside,Whiteside,31.74617567089247,1,7500,MIA@WAS,MIA,WAS,,,,12363.0,Hassan Whiteside,31.74617567089247
8,19067,SG,CJ,CJ McCollum,McCollum,33.799525919654926,81,7200,LAL@POR,POR,LAL,,,,19067.0,C.J. McCollum,33.799525919654926
9,9660,C,Dwight,Dwight Howard,Howard,36.199403295867235,81,7100,MIA@WAS,WAS,MIA,GTD,Back,,9660.0,Dwight Howard,36.199403295867235
10,23802,PG,Kris,Kris Dunn,Dunn,31.994276690074656,53,7000,CHI@PHI,CHI,PHI,,,,23802.0,Kris Dunn,31.994276690074656
11,16233,SF,Josh,Josh Richardson,Richardson,26.58625081926173,1,6900,MIA@WAS,MIA,WAS,,,,16233.0,Josh Richardson,26.58625081926173
12,66048,PF,Brandon,Brandon Ingram,Ingram,29.288661299537036,60,6800,LAL@POR,LAL,POR,,,,66048.0,Brandon Ingram,29.288661299537036
13,40783,SG,Zach,Zach LaVine,LaVine,30.300897722005654,24,6800,CHI@PHI,CHI,PHI,,,,40783.0,Zach LaVine,30.300897722005654
14,20491,SF,Robert,Robert Covington,Covington,28.89079733993888,1,6700,CHI@PHI,PHI,CHI,,,,20491.0,Robert Covington,28.89079733993888
15,80806,PG,Lonzo,Lonzo Ball,Ball,33.64519615877426,52,6600,LAL@POR,LAL,POR,,,,80806.0,Lonzo Ball,33.64519615877426
16,15628,SF,Otto,Otto Porter Jr.,Porter Jr.,27.236751015998728,77,6400,MIA@WAS,WAS,MIA,,,,15628.0,Otto Porter,27.236751015998728
17,42550,SF,Jabari,Jabari Parker,Parker,25.512737567289513,31,6200,CHI@PHI,CHI,PHI,,,,42550.0,Jabari Parker,25.512737567289513
