"Rank","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev"
"1","","Baltimore (BAL)","vs. BUF","1","2","1.2","0.4"
"2","","New Orleans (NO)","vs. TB","1","12","3.1","1.9"
"3","","Jacksonville (JAC)","at NYG","1","7","3.3","1.5"
"4","","Detroit (DET)","vs. NYJ","2","14","5.6","2.6"
"5","","Minnesota (MIN)","vs. SF","2","14","5.7","2.5"
"6","","Los Angeles (LAR)","at OAK","2","20","6.7","4.6"
"7","","Denver (DEN)","vs. SEA","5","12","8.2","2.3"
"8","","Pittsburgh (PIT)","at CLE","1","15","9.4","3.2"
"9","","Carolina (CAR)","vs. DAL","4","15","9.7","2.5"
"10","","Los Angeles (LAC)","vs. KC","4","14","9.9","2.5"
"11","","Tennessee (TEN)","at MIA","7","21","11.4","3.3"
"12","","Green Bay (GB)","vs. CHI","5","19","12.1","3.8"
"13","","New England (NE)","vs. HOU","6","20","11.7","3.6"
"14","","Philadelphia (PHI)","vs. ATL","4","21","13.5","3.3"
"15","","Cincinnati (CIN)","at IND","6","21","14.4","3.4"
"16","","Atlanta (ATL)","at PHI","6","25","16.2","4.2"
"17","","Arizona (ARI)","vs. WAS","10","23","17.5","2.6"
"18","","Washington (WAS)","at ARI","3","24","19.2","4.4"
"19","","Seattle (SEA)","at DEN","9","22","18.4","2.8"
"20","","Cleveland (CLE)","vs. PIT","10","28","20.8","4.5"
"21","","New York (NYG)","vs. JAC","13","27","20.4","3.0"
"22","","Buffalo (BUF)","at BAL","13","26","19.7","3.7"
"23","","Miami (MIA)","vs. TEN","16","29","22.3","3.6"
"24","","Dallas (DAL)","at CAR","14","27","22.0","3.9"
"25","","Houston (HOU)","at NE","18","31","24.3","3.6"
"26","","Chicago (CHI)","at GB","13","31","24.7","3.7"
"27","","Kansas City (KC)","at LAC","20","32","27.2","2.3"
"28","","Indianapolis (IND)","vs. CIN","19","30","26.2","3.2"
"29","","San Francisco (SF)","at MIN","23","30","27.9","1.4"
"30","","New York (NYJ)","at DET","24","31","28.8","1.9"
"31","","Oakland (OAK)","vs. LAR","26","32","30.6","1.3"
"32","","Tampa Bay (TB)","at NO","25","32","31.3","1.9"
""
""
