"Rank","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev"
"1","","Todd Gurley","LAR","RB1","at OAK","1","4","1.2","0.5"
"2","","David Johnson","ARI","RB2","vs. WAS","1","5","2.5","1.0"
"3","","Alvin Kamara","NO","RB3","vs. TB","1","11","3.2","1.6"
"4","","Melvin Gordon","LAC","RB4","vs. KC","2","16","5.4","2.1"
"5","","Ezekiel Elliott","DAL","RB5","at CAR","3","19","5.6","2.3"
"6","","Leonard Fournette","JAC","RB6","at NYG","3","9","6.5","1.4"
"7","","Kareem Hunt","KC","RB7","at LAC","4","34","9.4","4.4"
"8","","Christian McCaffrey","CAR","RB8","vs. DAL","5","24","10.6","3.5"
"9","","Antonio Brown","PIT","WR1","at CLE","2","99","11.4","12.9"
"10","","DeAndre Hopkins","HOU","WR2","at NE","3","33","11.9","6.0"
"11","","Saquon Barkley","NYG","RB9","vs. JAC","5","25","12.6","3.8"
"12","","Rob Gronkowski","NE","TE1","vs. HOU","4","51","14.4","6.4"
"13","","A.J. Green","CIN","WR3","at IND","2","31","14.9","5.7"
"14","","Michael Thomas","NO","WR4","vs. TB","3","26","15.0","5.4"
"15","","Joe Mixon","CIN","RB10","at IND","5","31","15.2","4.7"
"16","","Dalvin Cook","MIN","RB11","vs. SF","5","36","15.7","5.7"
"17","","Alex Collins","BAL","RB12","vs. BUF","6","45","16.7","6.0"
"18","","Julio Jones","ATL","WR5","at PHI","3","31","17.3","5.3"
"19","","Keenan Allen","LAC","WR6","vs. KC","3","29","19.4","5.8"
"20","","Jordan Howard","CHI","RB13","at GB","9","43","20.4","5.1"
"21","","Devonta Freeman","ATL","RB14","at PHI","10","37","22.0","5.2"
"22","","Davante Adams","GB","WR7","vs. CHI","10","30","23.3","4.9"
"23","","Kenyan Drake","MIA","RB15","vs. TEN","11","80","26.4","9.4"
"24","","Lamar Miller","HOU","RB16","at NE","12","59","26.9","7.9"
"25","","LeSean McCoy","BUF","RB17","at BAL","12","80","27.2","11.7"
"26","","Odell Beckham Jr.","NYG","WR8","vs. JAC","11","61","28.0","5.8"
"27","","Stefon Diggs","MIN","WR9","vs. SF","19","38","28.1","4.1"
"28","","James Conner","PIT","RB18","at CLE","11","127","28.4","16.4"
"29","","Royce Freeman","DEN","RB19","vs. SEA","11","55","31.1","8.5"
"30","","Derrick Henry","TEN","RB20","at MIA","6","84","31.3","11.9"
"31","","Larry Fitzgerald","ARI","WR10","vs. WAS","17","45","32.1","5.3"
"32","","T.Y. Hilton","IND","WR11","vs. CIN","16","48","31.3","6.0"
"33","","Jamaal Williams","GB","RB21","vs. CHI","14","69","33.6","11.2"
"34","","Jay Ajayi","PHI","RB22","vs. ATL","12","68","34.5","11.3"
"35","","Chris Hogan","NE","WR12","vs. HOU","16","49","34.6","6.8"
"36","","Tyreek Hill","KC","WR13","at LAC","12","58","35.9","7.4"
"37","","Adam Thielen","MIN","WR14","vs. SF","25","58","38.1","6.7"
"38","","Carlos Hyde","CLE","RB23","vs. PIT","21","62","39.4","8.9"
"39","","Mike Evans","TB","WR15","at NO","15","68","39.9","8.6"
"40","","Marvin Jones","DET","WR16","vs. NYJ","27","65","43.5","6.9"
"41","","Rex Burkhead","NE","RB24","vs. HOU","20","84","43.6","12.5"
"42","","Golden Tate","DET","WR17","vs. NYJ","26","76","44.9","7.0"
"43","","Brandin Cooks","LAR","WR18","at OAK","26","65","45.8","6.4"
"44","","Travis Kelce","KC","TE2","at LAC","23","90","46.1","10.6"
"45","","Demaryius Thomas","DEN","WR19","vs. SEA","22","66","46.4","7.5"
"46","","Doug Baldwin","SEA","WR20","at DEN","23","81","46.4","9.3"
"47","","Dion Lewis","TEN","RB25","at MIA","26","75","48.9","11.5"
"48","","Zach Ertz","PHI","TE3","vs. ATL","16","91","48.9","12.6"
"49","","JuJu Smith-Schuster","PIT","WR21","at CLE","32","93","49.0","9.6"
"50","","Marshawn Lynch","OAK","RB26","vs. LAR","22","102","49.0","14.6"
"51","","Peyton Barber","TB","RB27","at NO","29","122","51.2","14.1"
"52","","Amari Cooper","OAK","WR22","vs. LAR","37","81","52.3","7.8"
"53","","Allen Robinson","CHI","WR23","at GB","32","70","51.6","7.9"
"54","","Jarvis Landry","CLE","WR24","vs. PIT","25","72","54.6","8.7"
"55","","Emmanuel Sanders","DEN","WR25","vs. SEA","26","77","55.5","9.4"
"56","","Corey Davis","TEN","WR26","at MIA","25","119","59.8","12.3"
"57","","Chris Carson","SEA","RB28","at DEN","34","107","61.4","11.6"
"58","","Michael Crabtree","BAL","WR27","vs. BUF","46","111","61.8","11.0"
"59","","Adrian Peterson","WAS","RB29","at ARI","35","113","62.5","14.5"
"60","","Cooper Kupp","LAR","WR28","at OAK","39","80","64.1","7.7"
"61","","Tevin Coleman","ATL","RB30","at PHI","30","96","64.2","15.6"
"62","","Nelson Agholor","PHI","WR29","vs. ATL","45","146","64.7","13.2"
"63","","Robby Anderson","NYJ","WR30","at DET","42","112","65.6","12.9"
"64","","Kenny Stills","MIA","WR31","vs. TEN","40","108","66.6","11.3"
"65","","Jamison Crowder","WAS","WR32","at ARI","46","98","66.9","8.6"
"66","","Jimmy Graham","GB","TE4","vs. CHI","37","95","68.9","14.3"
"67","","Robert Woods","LAR","WR33","at OAK","47","132","69.3","13.6"
"68","","Marquise Goodwin","SF","WR34","at MIN","51","115","70.1","9.5"
"69","","Josh Gordon","CLE","WR35","vs. PIT","39","131","72.0","16.6"
"70","","Delanie Walker","TEN","TE5","at MIA","16","95","72.1","12.6"
"71","","Bilal Powell","NYJ","RB31","at DET","36","148","72.4","20.6"
"72","","Greg Olsen","CAR ","TE6","vs. DAL","41","131","75.2","16.7"
"73","","Devin Funchess","CAR","WR36","vs. DAL","46","122","75.5","12.4"
"74","","Randall Cobb","GB","WR37","vs. CHI","53","167","77.2","14.5"
"75","","Kyle Rudolph","MIN","TE7","vs. SF","44","123","78.3","12.0"
"76","","Isaiah Crowell","NYJ","RB32","at DET","51","125","76.5","15.6"
"77","","Sammy Watkins","KC","WR38","at LAC","41","114","78.7","13.0"
"78","","Keelan Cole","JAC","WR39","at NYG","61","147","80.8","13.9"
"79","","Duke Johnson","CLE","RB33","vs. PIT","44","109","80.5","14.9"
"80","","Chris Thompson","WAS","RB34","at ARI","37","115","80.8","15.8"
"81","","Alfred Morris","SF","RB35","at MIN","51","110","81.8","17.5"
"82","","Pierre Garcon","SF","WR40","at MIN","58","127","84.1","11.6"
"83","","Trey Burton","CHI","TE8","at GB","44","121","86.0","16.8"
"84","","James White","NE","RB36","vs. HOU","40","124","85.3","17.4"
"85","","Jordan Wilkins","IND","RB37","vs. CIN","31","123","87.0","21.9"
"86","","Jordan Reed","WAS","TE9","at ARI","42","124","88.1","16.7"
"87","","Kelvin Benjamin","BUF","WR41","at BAL","58","137","87.8","11.7"
"88","","Kerryon Johnson","DET","RB38","vs. NYJ","39","148","89.7","19.1"
"89","","Jordy Nelson","OAK","WR42","vs. LAR","72","135","89.7","12.3"
"90","","Matt Breida","SF","RB39","at MIN","52","153","89.8","17.7"
"91","","Sterling Shepard","NYG","WR43","vs. JAC","55","139","93.9","16.0"
"92","","Tarik Cohen","CHI","RB40","at GB","51","134","93.3","15.7"
"93","","Kenny Golladay","DET","WR44","vs. NYJ","35","139","96.7","16.3"
"94","","Allen Hurns","DAL","WR45","at CAR","69","143","96.0","12.7"
"95","","John Brown","BAL","WR46","vs. BUF","63","164","97.9","18.1"
"96","","Jack Doyle","IND","TE10","vs. CIN","55","146","100.0","15.7"
"97","","Ty Montgomery","GB","RB41","vs. CHI","61","132","99.1","13.9"
"98","","Evan Engram","NYG","TE11","vs. JAC","64","136","101.3","14.5"
"99","","Will Fuller","HOU ","WR47","at NE","64","144","86.4","18.1"
"100","","Mike Williams","LAC","WR48","vs. KC","47","159","101.6","20.6"
"101","","Giovani Bernard","CIN","RB42","at IND","70","129","99.9","11.9"
"102","","John Ross","CIN","WR49","at IND","32","143","103.6","17.8"
"103","","Rishard Matthews","TEN","WR50","at MIA","72","158","103.7","16.3"
"104","","Latavius Murray","MIN","RB43","vs. SF","60","151","104.2","16.7"
"105","","Tyler Eifert","CIN","TE12","at IND","65","139","107.7","15.9"
"106","","Chris Godwin","TB","WR51","at NO","61","143","106.4","16.2"
"107","","Tyler Lockett","SEA","WR52","at DEN","74","148","107.5","15.6"
"108","","Mike Wallace","PHI","WR53","vs. ATL","56","162","107.5","22.0"
"109","","Mohamed Sanu","ATL","WR54","at PHI","72","149","109.1","13.7"
"110","","David Njoku","CLE","TE13","vs. PIT","63","147","113.7","14.6"
"111","","Devontae Booker","DEN","RB44","vs. SEA","63","158","111.3","18.5"
"112","","Tyrell Williams","LAC","WR55","vs. KC","69","155","111.1","16.7"
"113","","Danny Amendola","MIA","WR56","vs. TEN","52","165","114.4","22.4"
"114","","Austin Seferian-Jenkins","JAC","TE14","at NYG","80","154","117.0","15.0"
"115","","Corey Clement","PHI","RB45","vs. ATL","55","161","117.0","19.7"
"116","","LeGarrette Blount","DET","RB46","vs. NYJ","50","177","117.6","20.5"
"117","","C.J. Anderson","CAR","RB47","vs. DAL","78","203","120.8","21.1"
"118","","DeSean Jackson","TB","WR57","at NO","92","148","120.1","11.7"
"119","","Quincy Enunwa","NYJ","WR58","at DET","85","187","122.8","20.4"
"120","","Sony Michel","NE ","RB48","vs. HOU","64","191","114.7","24.2"
"121","","Mike Gillislee","NO","RB49","vs. TB","63","185","122.9","26.8"
"122","","Ted Ginn","NO","WR59","vs. TB","71","167","122.3","15.7"
"123","","Michael Gallup","DAL","WR60","at CAR","58","167","122.9","19.8"
"124","","Josh Doctson","WAS","WR61","at ARI","72","154","123.6","16.2"
"125","","Anthony Miller","CHI","WR62","at GB","88","150","123.8","13.3"
"126","","D.J. Moore","CAR","WR63","vs. DAL","61","200","124.2","23.1"
"127","","Rashaad Penny","SEA","RB50","at DEN","63","186","125.0","20.5"
"128","","George Kittle","SF","TE15","at MIN","88","164","127.0","14.0"
"129","","O.J. Howard","TB","TE16","at NO","73","165","127.6","17.1"
"130","","Jared Cook","OAK","TE17","vs. LAR","80","158","127.1","12.7"
"131","","Marlon Mack","IND ","RB51","vs. CIN","54","182","118.9","24.8"
"132","","Ricky Seals-Jones","ARI","TE18","vs. WAS","83","179","130.6","17.3"
"133","","Theo Riddick","DET","RB52","vs. NYJ","89","154","127.9","16.1"
"134","","Benjamin Watson","NO","TE19","vs. TB","82","181","130.8","15.8"
"135","","Geronimo Allison","GB","WR64","vs. CHI","95","184","129.9","17.0"
"136","","Austin Ekeler","LAC","RB53","vs. KC","80","175","133.3","22.7"
"137","","Phillip Dorsett","NE","WR65","vs. HOU","67","176","132.5","20.6"
"138","","Calvin Ridley","ATL","WR66","at PHI","79","159","132.9","17.3"
"139","","Donte Moncrief","JAC","WR67","at NYG","69","185","134.1","19.5"
"140","","Frank Gore","MIA","RB54","vs. TEN","83","192","134.4","20.2"
"141","","Dede Westbrook","JAC","WR68","at NYG","79","162","132.6","14.8"
"142","","Eric Ebron","IND","TE20","vs. CIN","79","189","137.6","18.5"
"143","","Jeremy Hill","NE","RB55","vs. HOU","93","175","139.7","22.5"
"144","","Paul Richardson","WAS","WR69","at ARI","55","155","136.1","16.2"
"145","","Ryan Grant","IND","WR70","vs. CIN","91","194","137.0","16.9"
"146","","Ronald Jones II","TB","RB56","at NO","78","198","142.0","27.6"
"147","","Charles Clay","BUF","TE21","at BAL","92","188","143.7","17.5"
"148","","Cameron Meredith","NO","WR71","vs. TB","80","182","142.3","19.1"
"149","","Devante Parker","MIA ","WR72","vs. TEN","90","205","126.6","25.1"
"150","","Cameron Brate","TB","TE22","at NO","81","186","144.7","17.8"
"151","","Javorius Allen","BAL","RB57","vs. BUF","99","178","148.5","20.5"
"152","","Courtland Sutton","DEN","WR73","vs. SEA","57","181","143.8","17.5"
"153","","Doug Martin","OAK","RB58","vs. LAR","106","177","149.2","20.3"
"154","","Darren Sproles","PHI","RB59","vs. ATL","80","182","149.6","19.3"
