"Rank","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev"
"1","","Aaron Rodgers","GB","vs. CHI","1","5","1.5","0.9"
"2","","Tom Brady","NE","vs. HOU","1","6","2.6","1.1"
"3","","Drew Brees","NO","vs. TB","1","8","3.3","1.5"
"4","","Cam Newton","CAR","vs. DAL","1","10","3.9","1.9"
"5","","Deshaun Watson","HOU","at NE","1","22","5.7","2.5"
"6","","Matthew Stafford","DET","vs. NYJ","2","12","6.1","1.8"
"7","","Kirk Cousins","MIN","vs. SF","2","15","7.6","2.1"
"8","","Philip Rivers","LAC","vs. KC","3","25","8.4","2.9"
"9","","Russell Wilson","SEA","at DEN","4","17","9.0","2.3"
"10","","Andrew Luck","IND","vs. CIN","4","17","11.1","2.3"
"11","","Ben Roethlisberger","PIT","at CLE","4","22","11.5","3.7"
"12","","Andy Dalton","CIN","at IND","6","22","12.1","2.6"
"13","","Jared Goff","LAR","at OAK","4","19","12.1","3.0"
"14","","Marcus Mariota","TEN","at MIA","10","25","14.2","2.3"
"15","","Alex Smith","WAS","at ARI","9","27","16.4","3.1"
"16","","Matt Ryan","ATL","at PHI","9","29","16.4","2.9"
"17","","Tyrod Taylor","CLE","vs. PIT","11","30","17.9","3.6"
"18","","Patrick Mahomes","KC","at LAC","9","26","18.0","3.2"
"19","","Dak Prescott","DAL","at CAR","9","29","19.3","3.9"
"20","","Blake Bortles","JAC","at NYG","14","28","19.7","2.8"
"21","","Jimmy Garoppolo","SF","at MIN","8","30","21.9","3.7"
"22","","Case Keenum","DEN","vs. SEA","11","28","22.1","3.8"
"23","","Nick Foles","PHI","vs. ATL","15","29","22.0","2.7"
"24","","Sam Bradford","ARI","vs. WAS","13","29","23.8","3.4"
"25","","Mitch Trubisky","CHI","at GB","16","29","22.8","2.8"
"26","","Derek Carr","OAK","vs. LAR","15","31","27.1","3.0"
"27","","Ryan Fitzpatrick","TB","at NO","12","31","25.4","3.2"
"28","","Ryan Tannehill","MIA","vs. TEN","17","31","26.4","2.9"
"29","","Joe Flacco","BAL","vs. BUF","16","31","27.2","2.9"
"30","","Eli Manning","NYG","vs. JAC","20","31","29.7","2.4"
"31","","Sam Darnold","NYJ","at DET","21","32","29.8","1.7"
"32","","Nathan Peterman","BUF","at BAL","31","34","32.0","0.3"
"33","","Brian Hoyer","NE","vs. HOU","33","33","33.0","0.0"
"34","","Josh McCown","NYJ","at DET","31","37","33.4","1.3"
"35","","Josh Allen","BUF","at BAL","32","35","33.7","1.0"
"36","","Scott Tolzien","FA","","33","35","34.0","1.0"
"37","","Trevor Siemian","MIN","vs. SF","34","35","34.5","0.5"
"38","","Lamar Jackson","BAL","vs. BUF","33","37","35.0","1.6"
"39","","Josh Rosen","ARI","vs. WAS","34","38","35.3","1.3"
"40","","Jacoby Brissett","IND","vs. CIN","35","36","35.5","0.5"
"41","","Baker Mayfield","CLE","vs. PIT","34","37","35.8","1.1"
""
""
