FF Question: Team with best kicker over last five years?,,,,,,,,,,,,,,,,
Separate question: team with best kicker,,,,,,,,,,,,,,,,
,,,,,,FG/EXPT,FG,,,,,FG/EXPT,EXPT,,,
Total,,,,,,Field Goals,,,,,,Extra Points,,,,
Row Labels,Sum of Adj_Made,Sum of Adj_Total,Success Rate,Rank,,Row Labels,Sum of Adj_Made,Sum of Adj_Total,Success Rate,Rank,,Row Labels,Sum of Adj_Made,Sum of Adj_Total,Success Rate,Rank
ARI,47.19,53.79,87.7%,25,,ARI,27.64,33.12,83.4%,22,,ARI,19.55,20.67,94.6%,18
ATL,58.80,61.08,96.3%,3,,ATL,28.07,30.36,92.5%,9,,ATL,30.73,30.73,100.0%,3.5
BAL,61.22,62.01,98.7%,1,,BAL,28.63,29.42,97.3%,3,,BAL,32.59,32.59,100.0%,3.5
BUF,48.19,51.20,94.1%,8,,BUF,23.99,26.99,88.9%,14,,BUF,24.21,24.21,100.0%,3.5
CAR,57.47,60.03,95.7%,6,,CAR,25.96,26.56,97.7%,1,,CAR,31.52,33.47,94.2%,19
CHI,33.18,37.93,87.5%,27,,CHI,13.69,17.42,78.6%,26,,CHI,19.48,20.51,95.0%,17
CIN,43.19,45.90,94.1%,9,,CIN,16.19,17.04,95.0%,4,,CIN,27.00,28.86,93.5%,23.5
CLE,35.29,40.24,87.7%,26,,CLE,12.94,16.96,76.3%,30,,CLE,22.35,23.28,96.0%,14
DAL,50.31,58.73,85.7%,29,,DAL,18.65,24.28,76.8%,29,,DAL,31.66,34.45,91.9%,27
DEN,43.55,48.81,89.2%,22,,DEN,21.20,26.46,80.1%,25,,DEN,22.35,22.35,100.0%,3.5
DET,55.71,59.73,93.3%,11,,DET,24.98,28.07,89.0%,13,,DET,30.73,31.66,97.1%,8.5
GB,43.42,47.22,92.0%,14,,GB,13.63,15.56,87.6%,18,,GB,29.80,31.66,94.1%,20
HOU,44.20,50.21,88.0%,24,,HOU,17.19,21.35,80.5%,23,,HOU,27.00,28.86,93.5%,23.5
IND,45.48,49.46,92.0%,15,,IND,25.14,28.19,89.2%,12,,IND,20.35,21.28,95.6%,16
JAX,55.02,60.53,90.9%,19,,JAX,26.23,29.79,88.1%,16,,JAX,28.79,30.75,93.6%,22
KC,70.51,73.57,95.8%,5,,KC,36.06,39.12,92.2%,10,,KC,34.45,34.45,100.0%,3.5
LA,74.45,79.27,93.9%,10,,LA,34.41,36.43,94.4%,6,,LA,40.04,42.83,93.5%,25
LAC,50.23,59.67,84.2%,32,,LAC,18.64,25.19,74.0%,32,,LAC,31.59,34.47,91.6%,29
MIA,39.87,44.12,90.4%,20,,MIA,18.45,19.91,92.7%,8,,MIA,21.42,24.21,88.5%,32
MIN,58.30,65.00,89.7%,21,,MIN,27.65,31.37,88.1%,15,,MIN,30.66,33.64,91.1%,30
NE,74.17,78.41,94.6%,7,,NE,32.34,34.72,93.1%,7,,NE,41.83,43.69,95.7%,15
NO,67.54,72.44,93.2%,12,,NO,26.71,30.59,87.3%,19,,NO,40.83,41.85,97.6%,7
NYG,32.67,38.17,85.6%,30,,NYG,15.91,20.29,78.4%,27,,NYG,16.76,17.88,93.8%,21
NYJ,48.12,52.09,92.4%,13,,NYJ,21.12,25.09,84.2%,21,,NYJ,27.00,27.00,100.0%,3.5
OAK,44.38,48.65,91.2%,18,,OAK,13.73,17.07,80.4%,24,,OAK,30.66,31.59,97.1%,10
PHI,60.89,68.90,88.4%,23,,PHI,23.65,27.93,84.7%,20,,PHI,37.24,40.97,90.9%,31
PIT,63.98,66.70,95.9%,4,,PIT,30.53,32.23,94.7%,5,,PIT,33.45,34.47,97.0%,11
SEA,49.25,56.44,87.3%,28,,SEA,18.52,24.78,74.7%,31,,SEA,30.73,31.66,97.1%,8.5
SF,59.10,60.92,97.0%,2,,SF,33.03,33.91,97.4%,2,,SF,26.07,27.00,96.6%,12
TB,46.44,54.78,84.8%,31,,TB,22.23,28.71,77.4%,28,,TB,24.21,26.07,92.9%,26
TEN,58.04,63.28,91.7%,16,,TEN,30.11,34.32,87.7%,17,,TEN,27.93,28.96,96.5%,13
WAS,53.40,58.43,91.4%,17,,WAS,21.81,24.05,90.7%,11,,WAS,31.59,34.38,91.9%,28
Grand Total,"1,673.58","1,827.72",91.6%,,,Grand Total,749.05,857.28,87.4%,,,Grand Total,924.54,970.44,95.3%,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,
Sum of Blocked,Column Labels,,,,,,,,,,,,,,,
Row Labels,EXPT,FG,Grand Total,,,,,,,,,,,,,
ARI,2,2,4,25,,0.255569786,,,,,,,,,,
NYG,2,2,4,30,,,,,,,,,,,,
LAC,1,2,3,32,,,,,,,,,,,,
MIN,2,1,3,21,,,,,,,,,,,,
ATL,0,2,2,3,,,,,,,,,,,,
CHI,1,1,2,27,,,,,,,,,,,,
DEN,0,2,2,22,,,,,,,,,,,,
TEN,1,1,2,16,,,,,,,,,,,,
BAL,0,1,1,1,,,,,,,,,,,,
CAR,1,0,1,6,,,,,,,,,,,,
CIN,0,1,1,9,,,,,,,,,,,,
GB,0,1,1,14,,,,,,,,,,,,
